iter	Passed	Remaining
989	14614	147
990	14631	132
991	14647	118
992	14661	103
993	14675	88
994	14686	73
995	14698	59
996	14710	44
997	14723	29
998	14733	14
999	14746	0
